mean,std,median,max,min,maxmin,small,medium,large,huge,target
0.339055556,0.034703448,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0,BF
0.335,0.032833792,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0,BF
0.333777778,0.036048865,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0,BF
0.335722222,0.035726901,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0,BF
0.336055556,0.038491595,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.339055556,0.038079928,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0,BF
0.336222222,0.036090283,0.34,0.4,0.266666667,1.5,0,0.441666667,0.558333333,0,BF
0.336222222,0.0353479,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0,BF
0.336166667,0.033636298,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.341333333,0.03880185,0.346666667,0.4,0.266666667,1.5,0,0.433333333,0.566666667,0,BF
0.333333333,0.033894437,0.333333333,0.4,0.266666667,1.5,0,0.55,0.45,0,BF
0.336166667,0.038112934,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0,BF
0.334277778,0.037446964,0.333333333,0.4,0.266666667,1.5,0,0.541666667,0.458333333,0,BF
0.335444444,0.040167561,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0,BF
0.335555556,0.036210128,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.335055556,0.036129199,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0,BF
0.333055556,0.03426045,0.333333333,0.4,0.273333333,1.463414634,0,0.508333333,0.491666667,0,BF
0.333277778,0.037299062,0.333333333,0.4,0.266666667,1.5,0,0.55,0.45,0,BF
0.3365,0.037682268,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0,BF
0.336111111,0.035661897,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0,BF
0.334833333,0.034994597,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0,BF
0.336,0.033744246,0.34,0.4,0.266666667,1.5,0,0.441666667,0.558333333,0,BF
0.335777778,0.03722326,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0,BF
0.338166667,0.039444911,0.34,0.4,0.266666667,1.5,0,0.475,0.525,0,BF
0.337055556,0.036563857,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0,BF
